FID,lng,lat,id1,id2,id3,id4,id5,id6,id7,id8,id9,id10,id11,id12,id13,id14,id15,id16,id17,id18,id19,id20
260,2.146237099,41.39178329,0.496177083,0.010834375,0.019070833,0.103297917,0,0.018669792,0,0.017753125,0.015630208,0,0.039440625,0,0,0,0.020330208,0.012654167,0,9.17E-05,0.105860417,0.013388542
261,2.155316885,41.39175178,0.000266667,0.382873958,0.007107292,0,0.07236875,0,0.306690625,0,0,0.000161458,0,0.128441667,0.004579167,0,0.000116667,0,0,0.00610625,0,4.38E-05
262,2.159983992,41.39188868,0.000623958,0.40374375,0.012836458,6.25E-06,0.048461458,0,0.349064583,0,0,0,0,0.072847917,0.001332292,0,0,0,0,0.002929167,0,8.54E-05
263,2.162296486,41.39192653,0.000489583,0.36981875,0.010814583,0.001446875,0.054846875,0,0.191211458,0,0,0,0,0.23430625,0.012428125,0,0,0,0,0.023347917,0,5.31E-05
264,2.161491307,41.39130741,0.000241667,0.354339583,0.043117708,0,0.024723958,0,0.013282292,0,0,0,0,0.440654167,0.08506875,0,0.000146875,0,0,0.001038542,0,0
265,2.162918858,41.39148227,6.56E-05,0.282588542,0.004435417,0,0.117705208,0,0.500211458,0,0,0,0,0.01639375,0.001296875,0,0,0,0,0.001607292,0,0
266,2.165465386,41.391726,0,0.309058333,0.027872917,0,0.070023958,0,0.37465625,0,0,0.000116667,0,0.147475,0.003878125,0,0,0,0,0.002479167,0,0
267,2.168336305,41.39178902,0,0.155929167,0.016894792,0,0.218675,0,0.506647917,0,0,0.000816667,0,0.0634875,0.001545833,8.02E-05,0,0,0,0.008532292,0,0
268,2.178483364,41.39178449,4.17E-06,0.274473958,0.032979167,0,0.105565625,0,0.367263542,0,0,0.000366667,0,0.051259375,0.006802083,0.00026875,0,0,0,0.071633333,0,0
269,2.179304174,41.39193452,4.17E-06,0.274473958,0.032979167,0,0.105565625,0,0.367263542,0,0,0.000366667,0,0.051259375,0.006802083,0.00026875,0,0,0,0.071633333,0,0
270,2.143834931,41.39093468,2.71E-05,0.3862375,0.014933333,0,0.024097917,0,0.426276042,0,0,0.001546875,0,0.066816667,0.000208333,0,0,0,0,0.038107292,0,0
271,2.144397817,41.39110415,0.00133125,0.403946875,0.0148625,0.000694792,0.028251042,0,0.296989583,0,0.000634375,0,0,0.010851042,0.006305208,0,0,0,0,0.007551042,0,0.000502083
272,2.146564974,41.39118302,0.000844792,0.244779167,0.00765,0,0.140896875,0,0.514960417,0,0,0,0,0.01380625,0.000601042,0,0,0,0,1.04E-06,0,0
273,2.145424253,41.39121239,0,0.362183333,0,1.98E-05,0.096215625,0,0.3455375,0,5.10E-05,0,0,0.090828125,0.003125,0,0.00081875,0,0,0.000478125,0,0
274,2.145990693,41.39162859,0.000358333,0.320667708,0.00374375,0.002051042,0.200182292,0,0.258744792,0,0,0,0,0.054119792,0.00159375,0,0,0,0,0.012646875,0,0
275,2.14887688,41.39118549,0.000629167,0.429172917,0.003278125,0.000364583,0.056326042,0,0.2677875,0,0,0,0,0.054594792,0.000482292,0,0.00015,0,0,0.006396875,0,0
276,2.147760468,41.39119059,0.000871875,0.438910417,0.003889583,2.81E-05,0.028217708,0,0.353621875,0,0.002,0,0,0.061478125,0.013035417,0,0.000420833,0,0,0,0,0
277,2.151123447,41.39120969,0.0001625,0.471308333,0.009878125,0.000171875,0.0321125,0,0.340376042,0,0,0,0,0.031919792,0.040195833,0.000367708,0.000165625,2.60E-05,3.65E-05,0.004664583,0,0
278,2.150002628,41.39120025,0.000286458,0.429495833,0.002333333,0,0.037642708,0,0.336576042,0,0.000421875,0.000114583,0,0.072154167,0.001548958,0,0.00174375,0,0,0.003289583,0,0
279,2.153436556,41.39118122,0,0.456975,0.002330208,0,0.02636875,0,0.3059,0,0,0,0,0.078829167,0.00291875,0,1.25E-05,0,0,0.000228125,0,0
280,2.152293511,41.39121269,0.000645833,0.420078125,0.005552083,0.010785417,0.0344875,0,0.297411458,0,0,0,0,0.03366875,0.001651042,0,0.001869792,0,0,0,0,0
281,2.155693975,41.39117067,0,0.401089583,0.004594792,0,0.060305208,0,0.36935,0,0,0,0,0.105854167,0.004323958,0,2.08E-06,0,0,0.000547917,0,0
282,2.15452732,41.39116709,0.002290625,0.365873958,0.007696875,0.0001375,0.069980208,0,0.368678125,0,0,0.000332292,0,0.06615,0.010761458,0,0.00015625,0.000171875,0,0.000486458,0,0
283,2.155113456,41.39161141,0.000228125,0.346704167,0.009113542,0.0023125,0.051923958,0,0.268301042,0.000847917,0,0,0,0.133816667,0.009896875,0.0021,0,0.000170833,0,0.02186875,0,6.04E-05
284,2.156790806,41.39118124,0.387129167,0,0,0.077173958,0,0.023694792,0,1.56E-05,0.027071875,0,0.000673958,0,0,0,0.009391667,0.00075625,0,0,0.261482292,0.008158333
285,2.157916199,41.39118016,0,0.394559375,0.008371875,0.000511458,0.02734375,0.000296875,0.297054167,0,0,0,0,0.118310417,0.010035417,0,0.003214583,0,0,0,0,0
286,2.159043035,41.39117397,0.007364583,0.400555208,0.005860417,0.002138542,0.0486875,0,0.229071875,0,0,0,0,0.170594792,0.007003125,6.25E-06,0.006453125,0,0,0.000521875,0,0
287,2.160173217,41.39117603,0.004754167,0.374808333,0.012180208,1.04E-05,0.05701875,0,0.277560417,0,0,0,0,0.041636458,0.001145833,0,0,0,0,0.00573125,0,0
288,2.164017032,41.39068247,0.001463542,0.305784375,0.03539375,0.006486458,0.087771875,0,0.066405208,0,0,0,0,0.212102083,0.073511458,0.053376042,0,0,0,8.85E-05,0,0
